                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      2.0000000000000000E+000      1.3000000000000000E+000      3.0000000000000000E+000                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20231011" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56                               57                               58 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2                             P_NS                         P_dot_NS                             B_NS                              R_M                             R_CO                             R_LC                       P_dot_NS_t 
                               1          1.7677669529663690E+004          2.9999970309337738E+000          1.3028826782536369E+001          8.6591803358216040E+001          1.3321815849145852E+002          1.5361674114945065E+000          0.0000000000000000E+000          5.4290296958374116E+000          4.4597765798842870E+000         -7.1704567895947791E-001         -1.0000000000000000E+000          1.9999999921755180E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2353969416272511E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2353969416272511E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238293338850340E+052          5.1296344401665192E+049          0.0000000000000000E+000          3.1289589683252007E+052         -1.8647427285021602E+034         -1.8315945242028737E+034         -2.4518301382824217E+032         -8.6299029164623700E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          4.6472393197889117E+000         -9.8999999999999986E+001          1.0000364291566144E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          3.5759344046497376E+017          1.4007184710724343E+012         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0000000000000000E+000          1.0000000000000001E-015          9.3139239542555688E+011          9.9999999999999997E+098          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                               2          3.8890872965260118E+004          2.9999934678969784E+000          1.3028816454126339E+001          8.6591837803600711E+001          1.3321821085899481E+002          1.5361870574051297E+000          0.0000000000000000E+000          5.4290253866377904E+000          4.4597730495536849E+000         -7.1704183568821100E-001         -1.0000000000000000E+000          1.9999999827869677E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354007710355839E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354007710355839E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238280854795624E+052          5.1296340989555079E+049          0.0000000000000000E+000          3.1289577195785179E+052         -1.8648240894621346E+034         -1.8316702271544326E+034         -2.4518357818504625E+032         -8.6291391937313500E+031         -6.3652954659687459E+028          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6505652037544518E+000         -9.8999999999999986E+001          1.0001092755569716E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          3.5956802541306893E+017          1.4114865353906083E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0006698979184585E+000          1.0006698979184426E-015          9.3138581021715845E+011          9.9999999999999997E+098          1.6351420837239560E+008          4.7713451592369423E+009          1.0006698979184426E-015 
                               3          6.4346717087975827E+004          2.9999891922193127E+000          1.3028804059934371E+001          8.6591879138423820E+001          1.3321827370071844E+002          1.5361882603079227E+000          0.0000000000000000E+000          5.4290202155576948E+000          4.4597688131217312E+000         -7.1704134460473401E-001         -1.0000000000000000E+000          1.9999999715225758E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354079763011120E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354079763011120E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238265873824129E+052          5.1296336925809945E+049          0.0000000000000000E+000          3.1289562210749941E+052         -1.8648372641605421E+034         -1.8316810460248960E+034         -2.4518425544603624E+032         -8.6277043015787072E+031         -1.0088289463721502E+029          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504940254990750E+000         -9.8999999999999986E+001          1.0001778001696369E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.5671374610406678E+017          1.4112552201869096E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0014733326758964E+000          1.0001187675474019E-015          9.3137790802854504E+011          9.9999999999999997E+098          1.6358722544013336E+008          4.7745414734273624E+009          1.0001187675474019E-015 
                               4          9.4893730035234679E+004          2.9999840614666806E+000          1.3028789187073562E+001          8.6591928739706816E+001          1.3321834911010629E+002          1.5361798587066131E+000          0.0000000000000000E+000          5.4290140103330886E+000          4.4597637294606205E+000         -7.1704256872743577E-001         -1.0000000000000000E+000          1.9999999580067622E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354126555647124E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354126555647124E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694877E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238247896868287E+052          5.1296332062773131E+049          0.0000000000000000E+000          3.1289544228931060E+052         -1.8648154846347493E+034         -1.8316588123373113E+034         -2.4518506816943403E+032         -8.6267707207132896E+031         -1.1394759781217387E+029          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504611353623950E+000         -9.8999999999999986E+001          1.0002064013812697E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.2492078306411507E+017          1.4111483465759144E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0024368177800969E+000          9.9945839414516386E-016          9.3136842549071765E+011          9.9999999999999997E+098          1.6367477617766699E+008          4.7783749379680262E+009          9.9945839414516386E-016 
                               5          1.3155014557194529E+005          2.9999779047121637E+000          1.3028771340060594E+001          8.6591988259955045E+001          1.3321843959942237E+002          1.5361654648538547E+000          0.0000000000000000E+000          5.4290065642389305E+000          4.4597576292107153E+000         -7.1704483192696167E-001         -1.0000000000000000E+000          1.9999999417883674E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354142120253600E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354142120253600E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238226325017898E+052          5.1296326220522268E+049          0.0000000000000000E+000          3.1289522651238422E+052         -1.8647725547626741E+034         -1.8316167081732536E+034         -2.4518604343116381E+032         -8.6264566962898098E+031         -1.0785550014273769E+029          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504465348806203E+000         -9.8999999999999986E+001          1.0001979120145936E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.1513562522766320E+017          1.4111009061863946E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0035920848282542E+000          9.9866735850094576E-016          9.3135704657277576E+011          9.9999999999999997E+098          1.6377973682473499E+008          4.7829720579559498E+009          9.9866735850094576E-016 
                               6          1.7553784421599805E+005          2.9999705168788955E+000          1.3028749924416104E+001          8.6592059681860505E+001          1.3321854818287488E+002          1.5361447276812117E+000          0.0000000000000000E+000          5.4289976292468936E+000          4.4597503091750967E+000         -7.1704818594766917E-001         -1.0000000000000000E+000          1.9999999223256302E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354127327412224E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354127327412224E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238200439695562E+052          5.1296319179277305E+049          0.0000000000000000E+000          3.1289496758874841E+052         -1.8647078557570479E+034         -1.8315537911339913E+034         -2.4518721372409139E+032         -8.6267447057666876E+031         -8.5985448808915106E+028          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504417501528632E+000         -9.8999999999999986E+001          1.0001566030021989E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.1048599132302179E+017          1.4110853598307275E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0049770903912185E+000          9.9772014421597318E-016          9.3134339205477283E+011          9.9999999999999997E+098          1.6390554559106618E+008          4.7884842357938023E+009          9.9772014421597318E-016 
                               7          2.2832308258886135E+005          2.9999616520232846E+000          1.3028724227192663E+001          8.6592145383257716E+001          1.3321867847534480E+002          1.5361113955894230E+000          0.0000000000000000E+000          5.4289869079010664E+000          4.4597415256640645E+000         -7.1705376681718536E-001         -1.0000000000000000E+000          1.9999998989681207E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354085954703352E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354085954703352E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238169379115252E+052          5.1296310667405475E+049          0.0000000000000000E+000          3.1289465689782660E+052         -1.8645994098261585E+034         -1.8314480767234663E+034         -2.4518861803382072E+032         -8.6275595707349253E+031         -4.9117285750881734E+028          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504432679772769E+000         -9.8999999999999986E+001          1.0000646163324964E+000          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.0642133580624976E+017          1.4110902914696053E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0066372084685138E+000          9.9658639875158437E-016          9.3132700689744470E+011          9.9999999999999997E+098          1.6405630930853403E+008          4.7950925753821678E+009          9.9658639875158437E-016 
                               8          2.9166536863629729E+005          2.9999510153855691E+000          1.3028693393928453E+001          8.6592248214011420E+001          1.3321883480922395E+002          1.5360520712526884E+000          0.0000000000000000E+000          5.4289740437021443E+000          4.4597309866181716E+000         -7.1706402372017630E-001         -1.0000000000000000E+000          1.9999998709349633E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2354021719157346E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2354021719157346E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238132110414987E+052          5.1296300343744629E+049          0.0000000000000000E+000          3.1289428410758732E+052         -1.8643995013737334E+034         -1.8312521025940190E+034         -2.4519030311607600E+032         -8.6288273550870678E+031          4.5888698031435193E+027          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6504658266703753E+000         -9.8999999999999986E+001          9.9991140993007666E-001          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.0247354630774134E+017          1.4111635900743504E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0086266389288843E+000          9.9523008091163230E-016          9.3130734508920068E+011          9.9999999999999997E+098          1.6423692895931202E+008          4.8030135717340326E+009          9.9523008091163230E-016 
                               9          3.6767611189322046E+005          2.9999382540688551E+000          1.3028656401624115E+001          8.6592371586177109E+001          1.3321902237141657E+002          1.5359432573137526E+000          0.0000000000000000E+000          5.4289586098322697E+000          4.4597183423720734E+000         -7.1708326261098421E-001         -1.0000000000000000E+000          1.9999998372892160E+000          1.3000000000000000E+000         -9.8999999999999986E+001         -1.2353944794784232E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2353944794784232E+001         -9.8999999999999986E+001          6.9999999999999996E-001         -7.6620470527694868E+000          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.1238087396979315E+052          5.1296287774611099E+049          0.0000000000000000E+000          3.1289383684753929E+052         -1.8640241134306142E+034         -1.8308823962416266E+034         -2.4519232500873937E+032         -8.6303457979543170E+031          7.8611098407424786E+028          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000          9.6505424582498733E+000         -9.8999999999999986E+001          9.9967268014755784E-001          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000          1.2500000000000000E+006          2.0255304926875018E+017          1.4114126128931258E+017         -1.0000000000000000E+000         -1.0000000000000000E+000          1.0110100656674874E+000          9.9360848626379566E-016          9.3128375146728784E+011          9.9999999999999997E+098          1.6445324682643574E+008          4.8125058311307592E+009          9.9360848626379566E-016 
